userName,score,at,content,Gameplay,Visual,Performance,Feature
Farid Ahmad,5,2023-07-19 3:25:08,"Semua hal dari game ini udah bagus dan keluhan saya cuman 1, material upgrade karakter, trace, relic itu terlalu sedikit termasuk dengan trace yang susah mendapatkan material ungu nya dan kita kesulitan mendapatkan bagian relic yang kita inginkan, itu aja sih",1,1,1,-1
Haidar Gustav,2,2023-07-19 8:32:40,"Yang jelek dari game ini cuma optimasi grafis, dan pengelolaan data! Setiap akan update dan muncul predownload untuk maintenance, data yang di perlukan terlalu besar, sebesar 6,9 GB itu sama saja mengunduh ulang data originalnya yang artinya sama saja mengunduh 2 Honkai Star Rail. Dan gilanya lagi setelah maintenance ke 1.2 disuruh update 7 GB 🗿",-1,-1,1,-1
Raihan N,3,2023-07-19 10:22:21,"Masih ada beberapa bug,Saat mau login Lag/patah2 entah karena sinyalnya yg jelek karena pas main itu sering merah,terus semenjak buat akun baru pas masuk game lag dan kadang pas masuk scene juga,kok ukuran updatenya kayak sama pas download dulu sekitar 7,3GB tapi pas udah download ukuran aplikasi cuma 10,1GB? Lah terus buat apa update sampai ±7GB? Buang2 kuota kalau ternyata ada yg salah sama updatenya yg seharusnya cuma ±3GB dan sisanya ada data yang sama jadi dihapus.",-1,1,-1,1
yaqub sena,1,2023-07-19 13:13:16,"Setelah update terdapat bug di quest main story, sebelum update tidak seperti ini tapi setelah update terdapat bug seperti black screen tiba-tiba tetapi cerita dalam quest terus berjalan karena suara terus berlanjut, kemudian karakter yg mau menghampiri triger event dalam quest seakan berlari di tempat tetapi cerita dalam quest terus berlanjut sama seperti diatas suara terus berjalan seiring dengan cerita dalam quest itu.",-1,1,-1,1
Ae,5,2023-07-04 21:55:35,masukan dari saya cukup 1 adain fitur raid agar mempercepat progres pengembangan karakter yang ingin kita build. sebelumnya UI terasa berat namun sekarang sudah ringan dan minim animasi. terimakasih kepada devloper! dengan pengurangan animasi pemain dengan device low end masih bisa bermain dengan lancar.,-1,1,-1,-1
Vrista Chan シ,4,2023-06-11 1:26:47,"Game nya seru bertema anime² gitu, grafik nya juga bagus bgt, bisa explore juga, tapi setiap mau masuk ke game habis memuat kenapa harus error 3 kali biar bisa masuk :( mohon diperbaiki yaa biar gk bosen pas mau masuk harus nunggu lama. Aku gtw sih cmn aku doang apa ngga tapi itu ngeselin bgt. Edit: setelah update udh gk ada error 3 kali lagi, tapi skrg saat masuk malah blm ke loading semua, maksudnya kyk lantainya bolong, dinding nya bolong, itu malah bikin lebih kesel🙃",-1,1,-1,-1
ZV• RPG,3,2023-06-26 16:40:14,"Masih ada bug di in game android version, seperti bug cahaya illahi pada kualitas refleksi rendah, sehingga beberapa tempat berwarna putih hingga tak nampak lagi objek nya, dan juga ada bug terbaru yaitu pas kita berada di space station Herta dan kita teleport ke kereta trailblazer ada cahaya putih yang nampak dari luar jendela dan menurut saya bug ini sangat mengganggu untuk player dengan device medium low end seperti saya.",1,1,-1,1
PG,4,2023-06-27 12:46:04,"Secara keseluruhan gameplay dari game ini bisa d blg menyenangkan dan menarik,dan untuk movement karakter itu bisa di blg stabil/smooth setelah update ini,tetapi ada 1 masalah yg terjadi stlah update kli ini,yaitu bug render pada latar belakang/map,d setiap settingan graphic,saya sudah mencoba memperbaiki ny dengan cara mengganti graphic ke paling tinggi,dan mencoba Menganti mode penampilan ke biasa/standar,tetapi tetap sama aj,jadi saya mohon semoga segara di perbaiki 🙏",1,-1,1,1
M.Rafly D,5,2023-07-19 1:26:25,"Game yang bergenre turn based games, dengan karakter nya yang sangat menarik karena ada ikatannya dengan honkai impact 3rd juga, serta story yang sedikit berat untuk dimengerti pada alurnya. Memiliki energi yang biasanya dimiliki dari game² yang lainnya untuk material yang dibutuhkan karakternya supaya menjadi kuat",1,1,1,1
Harun Ar Rasyid,3,2023-06-29 3:58:55,"Perlu optimalisasi di bagian latar tempat agar setelah update latar tempat tidak terlihat ""hilang"". Tolong perhatikan latensi jaringan. Mungkin kedepannya perlu diperhatikan update yang ingin dilakukan, takutnya tidak semua perangkat bisa mendukung update yang dilakukan. Pilihan kualitas resolusi cutscene bisa dijadikan opsi untuk optimalisasi game di perangkat.",1,1,-1,-1
22. Rizki Kusuma,4,2023-06-12 3:54:08,"Diawal perilisan game ini emang lancar mainnya. Cuman pas di update yg terbaru alias di update Silver Wolf ini entah kenapa jd agak berat terus sering mengalami yang namanya gak kerender untuk beberapa gedung, dan bahkan buka map aja harus di tahan dulu. Jd untuk developer dimohon untuk memperbaiki bug ini. Dan bintang yg bisa saya kasih hanya 4 karena hanya bug itu yg saya alami.",1,-1,1,1
